entry_bps,exit_bps,ann_return_pct,sharpe,max_dd_pct,n_trades,exposure
0.5,0.0,5.056,3.968,-11.917,297,0.7842
1.0,0.0,9.497,10.614,-0.282,14,0.3499
1.0,0.5,8.99,10.091,-0.282,18,0.2998
1.5,0.0,9.24,10.398,-0.282,14,0.3289
1.5,0.5,8.871,10.021,-0.282,17,0.2898
1.5,1.0,8.667,9.79,-0.282,18,0.2716
2.0,0.0,9.009,10.185,-0.282,13,0.3036
2.0,0.5,8.732,9.904,-0.282,16,0.2754
2.0,1.0,8.535,9.68,-0.282,17,0.2576
2.0,1.5,3.668,3.817,-1.944,131,0.1259
2.5,0.0,8.967,10.164,-0.282,12,0.2991
2.5,0.5,8.624,9.833,-0.282,14,0.2652
2.5,1.0,8.411,9.592,-0.282,15,0.247
2.5,1.5,3.982,4.371,-1.329,103,0.1158
2.5,2.0,3.127,3.37,-2.079,128,0.108
3.0,0.0,8.904,10.149,-0.282,11,0.2944
3.0,0.5,8.568,9.817,-0.282,13,0.2628
3.0,1.0,8.355,9.576,-0.282,14,0.2447
3.0,1.5,4.039,4.528,-1.152,91,0.109
3.0,2.0,3.379,3.744,-1.576,110,0.1014
3.5,0.0,8.572,9.82,-0.282,11,0.272
3.5,0.5,8.225,9.477,-0.282,13,0.2403
3.5,1.0,8.065,9.305,-0.332,13,0.2253
3.5,1.5,4.086,4.668,-1.044,80,0.1023
3.5,2.0,3.525,4.009,-1.339,94,0.0937
4.0,0.0,8.464,9.736,-0.282,11,0.2658
4.0,0.5,8.152,9.434,-0.282,12,0.2356
4.0,1.0,7.992,9.262,-0.332,12,0.2206
4.0,1.5,4.139,4.856,-0.706,68,0.0946
4.0,2.0,3.712,4.387,-0.713,78,0.086
4.5,0.0,8.343,9.621,-0.282,11,0.2608
4.5,0.5,8.031,9.318,-0.282,12,0.2307
4.5,1.0,7.871,9.146,-0.332,12,0.2157
4.5,1.5,4.217,5.047,-0.585,58,0.0886
4.5,2.0,3.83,4.621,-0.591,66,0.0811
5.0,0.0,7.877,9.171,-0.282,10,0.2284
5.0,0.5,7.611,8.898,-0.282,11,0.2039
5.0,1.0,7.531,8.813,-0.332,11,0.196
5.0,1.5,4.22,5.192,-0.454,47,0.0809
5.0,2.0,3.861,4.81,-0.451,53,0.0731
