entry_bps,exit_bps,ann_return_pct,sharpe,max_dd_pct,n_trades,exposure
0.5,0.0,7.538,4.216,-8.294,153,0.8239
1.0,0.0,11.921,7.835,-1.798,11,0.4483
1.0,0.5,11.241,7.426,-1.798,12,0.369
1.5,0.0,11.888,7.814,-1.798,11,0.4446
1.5,0.5,11.203,7.402,-1.798,12,0.3646
1.5,1.0,11.046,7.297,-1.798,12,0.3489
2.0,0.0,11.801,7.77,-1.798,10,0.4337
2.0,0.5,11.071,7.324,-1.798,11,0.3507
2.0,1.0,10.924,7.227,-1.798,11,0.3355
2.0,1.5,4.559,3.406,-1.682,96,0.1557
2.5,0.0,11.712,7.719,-1.798,10,0.4266
2.5,0.5,10.982,7.273,-1.798,11,0.3436
2.5,1.0,10.835,7.176,-1.798,11,0.3284
2.5,1.5,5.057,3.873,-0.935,79,0.145
2.5,2.0,4.126,3.142,-1.373,91,0.1332
3.0,0.0,11.279,7.45,-1.798,9,0.3805
3.0,0.5,10.725,7.116,-1.798,10,0.3245
3.0,1.0,10.591,7.027,-1.798,10,0.3112
3.0,1.5,5.067,3.941,-0.768,72,0.1371
3.0,2.0,4.23,3.296,-1.069,80,0.1241
3.5,0.0,10.981,7.314,-1.798,9,0.3551
3.5,0.5,10.427,6.977,-1.798,10,0.2991
3.5,1.0,10.293,6.888,-1.798,10,0.2858
3.5,1.5,5.14,4.075,-0.768,61,0.1233
3.5,2.0,4.607,3.657,-0.928,65,0.1141
4.0,0.0,10.958,7.301,-1.798,9,0.3541
4.0,0.5,10.405,6.965,-1.798,10,0.2981
4.0,1.0,10.27,6.875,-1.798,10,0.2847
4.0,1.5,4.967,4.123,-0.904,54,0.1136
4.0,2.0,4.518,3.758,-1.109,57,0.1063
4.5,0.0,10.841,7.233,-1.791,9,0.3502
4.5,0.5,10.288,6.896,-1.791,10,0.2942
4.5,1.0,10.153,6.806,-1.791,10,0.2808
4.5,1.5,5.042,4.241,-0.938,48,0.107
4.5,2.0,4.694,3.958,-1.213,50,0.101
5.0,0.0,10.73,7.185,-1.791,8,0.3376
5.0,0.5,10.207,6.86,-1.791,9,0.2858
5.0,1.0,10.072,6.77,-1.791,9,0.2724
5.0,1.5,5.239,4.488,-0.689,41,0.1026
5.0,2.0,4.908,4.22,-0.885,43,0.0968
